,x,y,class,cluster
0,0.28283,0.88552,b'1',24
1,0.27609,0.86195,b'1',24
2,0.27273,0.84512,b'1',24
3,0.27273,0.82492,b'1',24
4,0.27273,0.78451,b'1',24
5,0.26936,0.81145,b'1',24
6,0.27609,0.76094,b'1',93
7,0.2963,0.77778,b'1',24
8,0.29966,0.81818,b'1',24
9,0.30303,0.86869,b'1',24
10,0.28956,0.85185,b'1',24
11,0.2862,0.81481,b'1',24
12,0.2862,0.78114,b'1',24
13,0.2862,0.79461,b'1',24
14,0.30303,0.83838,b'1',24
15,0.28956,0.75758,b'1',93
16,0.28956,0.73064,b'1',93
17,0.27946,0.74074,b'1',93
18,0.26936,0.76768,b'1',24
19,0.3064,0.77778,b'1',24
20,0.2963,0.74747,b'1',93
21,0.30303,0.80135,b'1',24
22,0.30976,0.84848,b'1',24
23,0.29966,0.85522,b'1',24
24,0.2963,0.87205,b'1',24
25,0.30976,0.76094,b'1',93
26,0.3165,0.79461,b'1',24
27,0.3165,0.83165,b'1',24
28,0.31313,0.73064,b'1',93
29,0.3064,0.74074,b'1',93
30,0.29293,0.72391,b'1',93
31,0.28283,0.71044,b'1',93
32,0.28283,0.73064,b'1',93
33,0.27609,0.75084,b'1',93
34,0.27609,0.72054,b'1',93
35,0.30303,0.72054,b'1',93
36,0.26936,0.74747,b'1',93
37,0.2963,0.70707,b'1',93
38,0.2862,0.83502,b'1',24
39,0.28283,0.86869,b'1',24
40,0.28956,0.69697,b'2',93
41,0.27609,0.6835,b'2',93
42,0.27609,0.6734,b'2',93
43,0.28283,0.69024,b'2',93
44,0.29966,0.67677,b'2',93
45,0.29293,0.6835,b'2',93
46,0.2862,0.6734,b'2',93
47,0.2862,0.64983,b'2',79
48,0.29966,0.68013,b'2',93
49,0.30303,0.65657,b'2',93
50,0.30303,0.633,b'2',231
51,0.30303,0.60269,b'2',79
52,0.29966,0.57239,b'2',79
53,0.3064,0.60269,b'2',79
54,0.31313,0.64646,b'2',231
55,0.30976,0.67677,b'2',93
56,0.30976,0.63973,b'2',231
57,0.28956,0.62626,b'2',79
58,0.29966,0.64646,b'2',231
59,0.2862,0.65993,b'2',93
60,0.27946,0.633,b'2',79
61,0.28283,0.61616,b'2',79
62,0.28283,0.60269,b'2',79
63,0.29293,0.61279,b'2',79
64,0.31313,0.6229,b'2',231
65,0.3064,0.6229,b'2',231
66,0.29293,0.58586,b'2',79
67,0.29293,0.56566,b'2',79
68,0.2862,0.57912,b'2',79
69,0.3064,0.56229,b'2',79
70,0.31313,0.58923,b'2',79
71,0.31313,0.59596,b'2',79
72,0.3165,0.60943,b'2',231
73,0.29966,0.61279,b'2',79
74,0.30303,0.66667,b'2',93
75,0.27609,0.6633,b'2',93
76,0.26936,0.633,b'2',79
77,0.27273,0.64983,b'2',79
78,0.29966,0.69697,b'2',93
79,0.2862,0.58923,b'2',79
80,0.26936,0.61953,b'2',79
81,0.27609,0.60943,b'2',79
82,0.30303,0.59259,b'2',79
83,0.31313,0.57912,b'2',79
84,0.29293,0.59933,b'2',79
85,0.3165,0.65657,b'2',93
86,0.3266,0.62963,b'2',231
87,0.3266,0.60606,b'2',231
88,0.32323,0.6532,b'2',93
89,0.3266,0.63973,b'2',231
90,0.3468,0.6229,b'2',231
91,0.27609,0.59259,b'2',79
92,0.3165,0.71717,b'2',93
93,0.3367,0.6835,b'2',93
94,0.3266,0.6734,b'2',93
95,0.29966,0.6835,b'2',93
96,0.29966,0.6532,b'2',93
97,0.29966,0.63973,b'2',231
98,0.28956,0.6633,b'2',93
99,0.27946,0.6633,b'2',93
100,0.27946,0.63636,b'2',79
101,0.28956,0.60943,b'2',79
102,0.28956,0.62963,b'2',79
103,0.28956,0.6431,b'2',79
104,0.29293,0.68687,b'2',93
105,0.2862,0.68687,b'2',93
106,0.28283,0.6532,b'2',93
107,0.2862,0.61953,b'2',79
108,0.29966,0.633,b'2',231
109,0.29293,0.68013,b'2',93
110,0.30303,0.69697,b'2',93
111,0.28956,0.64646,b'2',79
112,0.28956,0.6229,b'2',79
113,0.27609,0.62626,b'2',79
114,0.27609,0.6431,b'2',79
115,0.3064,0.61279,b'2',231
116,0.29966,0.6229,b'2',79
117,0.27609,0.67003,b'2',93
118,0.27946,0.6835,b'2',93
119,0.28283,0.6431,b'2',79
120,0.2862,0.61616,b'2',79
121,0.28956,0.59933,b'2',79
122,0.29293,0.55219,b'3',79
123,0.31313,0.55219,b'3',319
124,0.2862,0.56229,b'3',79
125,0.2862,0.53199,b'3',79
126,0.27946,0.53535,b'3',79
127,0.2862,0.51515,b'3',155
128,0.28283,0.49832,b'3',155
129,0.28283,0.47811,b'3',155
130,0.29293,0.45455,b'3',155
131,0.30303,0.49495,b'3',155
132,0.29293,0.52862,b'3',79
133,0.30976,0.53535,b'3',319
134,0.3064,0.50842,b'3',155
135,0.31987,0.47811,b'3',155
136,0.30303,0.47811,b'3',155
137,0.2963,0.48148,b'3',155
138,0.28283,0.46465,b'3',155
139,0.2862,0.51515,b'3',155
140,0.30976,0.54209,b'3',319
141,0.3165,0.52525,b'3',319
142,0.29966,0.50842,b'3',155
143,0.29966,0.51852,b'3',155
144,0.29966,0.53535,b'3',79
145,0.29293,0.50505,b'3',155
146,0.30976,0.46801,b'3',155
147,0.29966,0.43771,b'3',155
148,0.30303,0.44781,b'3',155
149,0.31987,0.47138,b'3',155
150,0.31987,0.50505,b'3',155
151,0.32323,0.53535,b'3',319
152,0.3266,0.47811,b'3',155
153,0.31987,0.43771,b'3',155
154,0.30976,0.42088,b'3',155
155,0.3064,0.46128,b'3',155
156,0.30303,0.46465,b'3',155
157,0.28956,0.41751,b'3',155
158,0.28283,0.44444,b'3',155
159,0.3165,0.47138,b'3',155
160,0.33333,0.45791,b'3',155
161,0.31987,0.45455,b'3',155
