,x,y,class,cluster
0,25.0514,5.7475,b'1',1012
1,26.6614,7.3414,b'1',555
2,25.2653,6.2466,b'1',1
3,25.2285,4.7447,b'1',1012
4,25.7529,5.1564,b'1',1
5,24.0785,5.6693,b'1',1012
6,25.2722,6.8676,b'1',1
7,24.6535,6.2443,b'1',1012
8,26.9834,6.633,b'1',1
9,25.7437,6.3179,b'1',1
10,26.4774,7.7416,b'1',1
11,26.7373,4.4756,b'1',1
12,27.1812,6.2972,b'1',1
13,25.4999,5.6739,b'1',1
14,25.3021,6.1431,b'1',1
15,23.3609,5.6601,b'1',1012
16,25.5482,5.7107,b'1',1
17,26.2198,5.7337,b'1',1
18,25.884,6.3294,b'1',1
19,24.4649,5.7521,b'1',1012
20,24.7708,6.7572,b'1',1012
21,25.3274,5.6463,b'1',1
22,25.999,4.8551,b'1',1
23,25.0238,6.2742,b'1',1012
24,25.8242,6.7848,b'1',1
25,25.4286,6.2834,b'1',1
26,27.3445,6.4697,b'1',1
27,24.6236,6.1178,b'1',1012
28,27.126,6.1109,b'1',1
29,25.677,5.9085,b'1',1
30,25.539,6.3777,b'1',1
31,25.0491,6.0603,b'1',1012
32,26.5924,6.0925,b'1',1
33,25.217,7.7531,b'1',1
34,25.2492,5.6486,b'1',1
35,24.941,5.0184,b'1',1012
36,25.2814,7.5461,b'1',1
37,24.8191,6.1316,b'1',1012
38,26.0105,6.8377,b'1',1
39,25.0215,6.564,b'1',1012
40,25.1618,6.3064,b'1',1012
41,25.8955,5.4393,b'1',1
42,24.8375,5.4416,b'1',1012
43,25.4562,6.702,b'1',1
44,25.7161,5.5152,b'1',1
45,26.7212,4.7424,b'1',1
46,24.4649,7.2471,b'1',1012
47,24.6328,5.3473,b'1',1012
48,25.7253,6.7296,b'1',1
49,27.1168,5.6946,b'1',1
50,26.4958,5.9039,b'1',1
51,25.1158,6.1914,b'1',1012
52,25.6103,7.6197,b'1',1
53,26.3026,6.7802,b'1',1
54,24.7915,6.2627,b'1',1012
55,25.0997,5.8004,b'1',1012
56,25.4838,7.0148,b'1',1
57,25.4217,7.3138,b'1',1
58,27.1306,6.9573,b'1',1
59,24.3338,5.1679,b'1',1012
60,24.6236,5.6877,b'1',1012
61,25.5183,4.8229,b'1',1
62,26.39,7.0401,b'1',1
63,24.3039,4.8827,b'1',1012
64,25.5275,4.9333,b'1',1
65,24.8973,7.1919,b'1',1012
66,24.7731,6.0925,b'1',1012
67,26.5855,6.8423,b'1',1
68,25.6356,5.6371,b'1',1
69,26.7718,5.5336,b'1',1
70,24.8536,5.5152,b'1',1012
71,25.8587,5.2208,b'1',1
72,25.2538,5.5727,b'1',1
73,25.4838,4.9333,b'1',1
74,25.5436,5.9844,b'1',1
75,23.1838,5.7314,b'1',1012
76,27.7102,6.2535,b'1',1
77,25.1204,4.6504,b'1',1012
78,25.2538,5.5681,b'1',1
79,25.5137,6.357,b'1',1
80,27.2249,5.5727,b'1',1
81,24.6581,5.9936,b'1',1012
82,25.1894,5.4991,b'1',1012
83,25.2446,5.9591,b'1',1
84,24.8007,4.4158,b'1',1012
85,26.275,5.5888,b'1',1
86,25.8748,6.5456,b'1',1
87,24.6328,6.7503,b'1',1012
88,24.8766,4.4664,b'1',1012
89,26.4498,6.6997,b'1',1
90,25.148,5.9292,b'1',1012
91,24.5914,5.8004,b'1',1012
92,25.6954,5.9867,b'1',1
93,26.344,5.9522,b'1',1
94,26.8224,5.667,b'1',1
95,26.1347,5.0161,b'1',1
96,25.263,5.3082,b'1',1
97,24.6305,6.8354,b'1',1012
98,25.8035,6.1937,b'1',1
99,26.0243,7.5576,b'1',1
100,18.4941,12.5877,b'2',163
101,18.1606,12.5486,b'2',163
102,17.9628,10.4625,b'2',163
103,17.7558,12.1231,b'2',163
104,17.4867,10.6626,b'2',163
105,16.7139,11.5849,b'2',163
106,17.259,11.7482,b'2',163
107,17.4959,11.5596,b'2',163
108,18.7908,10.497,b'2',163
109,18.3607,11.8287,b'2',163
110,17.2038,11.7689,b'2',163
111,16.96,10.6373,b'2',163
112,17.2866,12.2933,b'2',163
113,17.3694,11.5596,b'2',163
114,17.9858,11.5067,b'2',163
115,18.0272,12.6176,b'2',163
116,17.1026,13.1719,b'2',163
117,17.5212,11.8747,b'2',163
118,17.512,10.9915,b'2',163
119,16.7898,12.2128,b'2',163
120,17.1233,11.6102,b'2',163
121,18.6137,11.3802,b'2',163
122,16.7714,11.3871,b'2',163
123,16.0676,10.8121,b'2',1274
124,17.8041,11.7022,b'2',163
125,17.8984,9.945,b'2',163
126,16.638,12.9649,b'2',163
127,16.4632,10.658,b'2',1274
128,18.5125,11.8425,b'2',163
129,17.9306,12.1898,b'2',163
130,17.6132,13.4686,b'2',163
131,16.7392,11.0306,b'2',163
132,18.4642,11.7137,b'2',163
133,17.3625,12.0035,b'2',163
134,17.5557,11.2123,b'2',163
135,17.6868,11.4354,b'2',163
136,18.5171,9.876,b'2',163
137,16.1251,10.6649,b'2',1274
138,17.5419,11.8885,b'2',163
139,17.8961,11.8057,b'2',163
140,18.2365,11.7666,b'2',163
141,18.1008,11.3641,b'2',163
142,18.3653,12.0633,b'2',163
143,19.3635,11.6286,b'2',163
144,17.9237,11.5573,b'2',163
145,16.9853,12.3186,b'2',163
146,16.8749,11.5182,b'2',163
147,18.0272,11.9621,b'2',163
148,17.6293,11.3503,b'2',163
149,16.5575,11.3388,b'2',163
150,18.2388,11.4676,b'2',163
151,17.811,11.4768,b'2',163
152,16.1895,9.968,b'2',1277
153,16.845,12.9235,b'2',163
154,17.4637,10.8213,b'2',163
155,17.6339,10.8144,b'2',163
156,17.4384,12.2128,b'2',163
157,17.9421,11.8057,b'2',163
158,16.615,12.0702,b'2',163
159,15.6398,11.2284,b'2',1274
160,16.7415,11.8793,b'2',163
161,16.8197,12.1162,b'2',163
162,15.9181,11.4124,b'2',1274
163,17.8363,11.8563,b'2',1274
164,17.696,11.9414,b'2',163
165,16.845,10.6672,b'2',163
166,18.5378,11.6516,b'2',163
167,17.1877,11.9828,b'2',163
168,18.4527,11.2468,b'2',163
169,16.8956,11.1065,b'2',163
170,18.1422,11.9966,b'2',163
171,16.8059,11.1318,b'2',163
172,17.4913,10.428,b'2',163
173,16.3045,10.8765,b'2',1274
174,17.4453,9.8668,b'2',1277
175,17.5396,11.4791,b'2',163
176,17.7328,11.21,b'2',163
177,17.466,10.4234,b'2',163
178,18.4803,12.0955,b'2',163
179,17.2889,11.7873,b'2',163
180,18.3883,10.0025,b'2',163
181,17.6523,11.509,b'2',163
182,17.4982,11.9552,b'2',163
183,17.5948,11.3848,b'2',163
184,17.7328,11.6562,b'2',163
185,19.3934,12.5601,b'2',163
186,17.9651,12.5256,b'2',163
187,17.0428,11.3595,b'2',163
188,17.6086,11.7206,b'2',163
189,18.9817,11.6999,b'2',163
190,17.1992,12.5969,b'2',163
191,16.9163,11.4929,b'2',163
192,17.3096,11.1893,b'2',163
193,18.9403,11.6999,b'2',163
194,17.098,13.5744,b'2',1360
195,16.3206,12.0679,b'2',163
196,18.4343,12.4474,b'2',163
197,18.3124,11.6631,b'2',163
198,16.7277,11.6654,b'2',163
199,18.2457,13.0201,b'2',163
200,8.4155,9.7633,b'3',284
201,7.1413,10.3981,b'3',284
202,7.691,11.969,b'3',284
203,8.6363,9.8139,b'3',284
204,7.8704,10.957,b'3',284
205,7.2103,11.1249,b'3',284
206,7.6289,9.899,b'3',284
207,7.5645,8.8824,b'3',284
208,7.5967,9.5241,b'3',284
209,8.1372,10.3015,b'3',284
210,7.8106,11.3227,b'3',284
211,8.9514,11.0628,b'3',284
212,8.8456,10.3866,b'3',284
213,8.6869,11.0007,b'3',284
214,7.6611,10.7592,b'3',284
215,8.1648,10.3061,b'3',284
216,9.1515,10.796,b'3',284
217,8.5029,9.1791,b'3',284
218,8.1441,10.8443,b'3',284
219,9.0756,9.3723,b'3',284
220,7.8428,9.9703,b'3',284
221,8.8295,10.4648,b'3',284
222,8.1993,9.7863,b'3',284
223,9.2021,11.0076,b'3',284
224,8.1625,10.474,b'3',284
