,x,y,class,cluster
0,0.28283,0.88552,b'1',472
1,0.27609,0.86195,b'1',472
2,0.27273,0.84512,b'1',472
3,0.27273,0.82492,b'1',472
4,0.27273,0.78451,b'1',472
5,0.26936,0.81145,b'1',472
6,0.27609,0.76094,b'1',472
7,0.2963,0.77778,b'1',472
8,0.29966,0.81818,b'1',472
9,0.30303,0.86869,b'1',472
10,0.28956,0.85185,b'1',472
11,0.2862,0.81481,b'1',472
12,0.2862,0.78114,b'1',472
13,0.2862,0.79461,b'1',472
14,0.30303,0.83838,b'1',472
15,0.28956,0.75758,b'1',472
16,0.28956,0.73064,b'1',472
17,0.27946,0.74074,b'1',472
18,0.26936,0.76768,b'1',472
19,0.3064,0.77778,b'1',472
20,0.2963,0.74747,b'1',472
21,0.30303,0.80135,b'1',472
22,0.30976,0.84848,b'1',472
23,0.29966,0.85522,b'1',472
24,0.2963,0.87205,b'1',472
25,0.30976,0.76094,b'1',472
26,0.3165,0.79461,b'1',472
27,0.3165,0.83165,b'1',472
28,0.31313,0.73064,b'1',472
29,0.3064,0.74074,b'1',472
30,0.29293,0.72391,b'1',472
31,0.28283,0.71044,b'1',472
32,0.28283,0.73064,b'1',472
33,0.27609,0.75084,b'1',472
34,0.27609,0.72054,b'1',472
35,0.30303,0.72054,b'1',472
36,0.26936,0.74747,b'1',472
37,0.2963,0.70707,b'1',472
38,0.2862,0.83502,b'1',472
39,0.28283,0.86869,b'1',472
40,0.28956,0.69697,b'2',472
41,0.27609,0.6835,b'2',472
42,0.27609,0.6734,b'2',472
43,0.28283,0.69024,b'2',472
44,0.29966,0.67677,b'2',472
45,0.29293,0.6835,b'2',472
46,0.2862,0.6734,b'2',472
47,0.2862,0.64983,b'2',472
48,0.29966,0.68013,b'2',472
49,0.30303,0.65657,b'2',472
50,0.30303,0.633,b'2',472
51,0.30303,0.60269,b'2',472
52,0.29966,0.57239,b'2',472
53,0.3064,0.60269,b'2',472
54,0.31313,0.64646,b'2',472
55,0.30976,0.67677,b'2',472
56,0.30976,0.63973,b'2',472
57,0.28956,0.62626,b'2',472
58,0.29966,0.64646,b'2',472
59,0.2862,0.65993,b'2',472
60,0.27946,0.633,b'2',472
61,0.28283,0.61616,b'2',472
62,0.28283,0.60269,b'2',472
63,0.29293,0.61279,b'2',472
64,0.31313,0.6229,b'2',472
65,0.3064,0.6229,b'2',472
66,0.29293,0.58586,b'2',472
67,0.29293,0.56566,b'2',472
68,0.2862,0.57912,b'2',472
69,0.3064,0.56229,b'2',472
70,0.31313,0.58923,b'2',472
71,0.31313,0.59596,b'2',472
72,0.3165,0.60943,b'2',472
73,0.29966,0.61279,b'2',472
74,0.30303,0.66667,b'2',472
75,0.27609,0.6633,b'2',472
76,0.26936,0.633,b'2',472
77,0.27273,0.64983,b'2',472
78,0.29966,0.69697,b'2',472
79,0.2862,0.58923,b'2',472
80,0.26936,0.61953,b'2',472
81,0.27609,0.60943,b'2',472
82,0.30303,0.59259,b'2',472
83,0.31313,0.57912,b'2',472
84,0.29293,0.59933,b'2',472
85,0.3165,0.65657,b'2',472
86,0.3266,0.62963,b'2',472
87,0.3266,0.60606,b'2',472
88,0.32323,0.6532,b'2',472
89,0.3266,0.63973,b'2',472
90,0.3468,0.6229,b'2',472
91,0.27609,0.59259,b'2',472
92,0.3165,0.71717,b'2',472
93,0.3367,0.6835,b'2',472
94,0.3266,0.6734,b'2',472
95,0.29966,0.6835,b'2',472
96,0.29966,0.6532,b'2',472
97,0.29966,0.63973,b'2',472
98,0.28956,0.6633,b'2',472
99,0.27946,0.6633,b'2',472
100,0.27946,0.63636,b'2',472
101,0.28956,0.60943,b'2',472
102,0.28956,0.62963,b'2',472
103,0.28956,0.6431,b'2',472
104,0.29293,0.68687,b'2',472
105,0.2862,0.68687,b'2',472
106,0.28283,0.6532,b'2',472
107,0.2862,0.61953,b'2',472
108,0.29966,0.633,b'2',472
109,0.29293,0.68013,b'2',472
110,0.30303,0.69697,b'2',472
111,0.28956,0.64646,b'2',472
112,0.28956,0.6229,b'2',472
113,0.27609,0.62626,b'2',472
114,0.27609,0.6431,b'2',472
115,0.3064,0.61279,b'2',472
116,0.29966,0.6229,b'2',472
117,0.27609,0.67003,b'2',472
118,0.27946,0.6835,b'2',472
119,0.28283,0.6431,b'2',472
120,0.2862,0.61616,b'2',472
121,0.28956,0.59933,b'2',472
122,0.29293,0.55219,b'3',472
123,0.31313,0.55219,b'3',3
124,0.2862,0.56229,b'3',472
125,0.2862,0.53199,b'3',472
126,0.27946,0.53535,b'3',472
127,0.2862,0.51515,b'3',472
128,0.28283,0.49832,b'3',3
129,0.28283,0.47811,b'3',3
130,0.29293,0.45455,b'3',3
131,0.30303,0.49495,b'3',3
132,0.29293,0.52862,b'3',472
133,0.30976,0.53535,b'3',3
134,0.3064,0.50842,b'3',3
135,0.31987,0.47811,b'3',3
136,0.30303,0.47811,b'3',3
137,0.2963,0.48148,b'3',3
138,0.28283,0.46465,b'3',3
139,0.2862,0.51515,b'3',472
140,0.30976,0.54209,b'3',3
141,0.3165,0.52525,b'3',3
142,0.29966,0.50842,b'3',3
143,0.29966,0.51852,b'3',3
144,0.29966,0.53535,b'3',472
145,0.29293,0.50505,b'3',3
146,0.30976,0.46801,b'3',3
147,0.29966,0.43771,b'3',3
148,0.30303,0.44781,b'3',3
149,0.31987,0.47138,b'3',3
150,0.31987,0.50505,b'3',3
151,0.32323,0.53535,b'3',3
152,0.3266,0.47811,b'3',3
153,0.31987,0.43771,b'3',3
154,0.30976,0.42088,b'3',3
155,0.3064,0.46128,b'3',3
156,0.30303,0.46465,b'3',3
157,0.28956,0.41751,b'3',3
158,0.28283,0.44444,b'3',3
159,0.3165,0.47138,b'3',3
160,0.33333,0.45791,b'3',3
161,0.31987,0.45455,b'3',3
162,0.30303,0.41751,b'3',3
163,0.35354,0.57239,b'3',3
164,0.33333,0.55556,b'3',3
165,0.31987,0.52189,b'3',3
166,0.2862,0.48485,b'3',3
167,0.27946,0.51515,b'3',472
168,0.2963,0.46128,b'3',3
169,0.31313,0.48822,b'3',3
170,0.33333,0.53199,b'3',3
171,0.35017,0.54545,b'3',3
172,0.30303,0.42761,b'3',3
173,0.32997,0.43434,b'3',3
174,0.34343,0.67677,b'4',472
175,0.33333,0.68687,b'4',472
176,0.34343,0.69697,b'4',472
177,0.36027,0.7138,b'4',472
178,0.34343,0.66667,b'4',472
179,0.36027,0.6633,b'4',472
180,0.38047,0.67677,b'4',472
181,0.38384,0.71044,b'4',472
182,0.367,0.71044,b'4',472
183,0.3569,0.68687,b'4',472
184,0.36027,0.6835,b'4',472
185,0.367,0.6936,b'4',472
186,0.367,0.7037,b'4',472
187,0.35354,0.7037,b'4',472
188,0.39057,0.70034,b'4',472
189,0.38047,0.6835,b'4',472
190,0.367,0.6734,b'4',472
191,0.35017,0.6532,b'4',472
192,0.34343,0.65993,b'4',472
193,0.3771,0.66667,b'4',472
194,0.38721,0.69024,b'4',472
195,0.37374,0.70707,b'4',472
196,0.34343,0.70707,b'4',472
197,0.32997,0.7037,b'4',472
198,0.32997,0.65657,b'4',472
199,0.3468,0.6633,b'4',472
200,0.38047,0.66667,b'4',3
201,0.39394,0.6835,b'4',3
202,0.35354,0.6835,b'4',472
203,0.36027,0.69697,b'4',472
204,0.32323,0.6936,b'4',472
205,0.3266,0.6633,b'4',472
206,0.36027,0.6532,b'4',472
207,0.38047,0.65657,b'4',3
208,0.39394,0.67677,b'4',3
209,0.3771,0.69697,b'4',472
210,0.3569,0.67677,b'4',472
211,0.37037,0.6835,b'4',472
212,0.35017,0.66667,b'4',472
213,0.35017,0.68013,b'4',472
214,0.35017,0.69697,b'4',472
215,0.33333,0.69697,b'4',472
216,0.33333,0.68687,b'4',472
217,0.33333,0.67677,b'4',472
218,0.3367,0.6835,b'4',472
219,0.3367,0.6936,b'4',472
220,0.36364,0.6936,b'4',472
221,0.39057,0.69024,b'4',472
222,0.38047,0.6734,b'4',472
223,0.36364,0.6734,b'4',472
224,0.36364,0.6633,b'4',472
225,0.36027,0.68013,b'4',472
226,0.34343,0.69024,b'4',472
227,0.3569,0.62963,b'5',3
228,0.3468,0.62963,b'5',472
229,0.34343,0.60269,b'5',3
230,0.36027,0.60606,b'5',3
231,0.3367,0.61279,b'5',472
232,0.34007,0.63636,b'5',472
233,0.36027,0.63636,b'5',3
234,0.3569,0.61953,b'5',3
235,0.37037,0.6229,b'5',3
236,0.38047,0.63973,b'5',3
237,0.3468,0.61616,b'5',472
238,0.34007,0.59596,b'5',3
239,0.37037,0.59596,b'5',3
240,0.38384,0.60943,b'5',3
241,0.38384,0.61953,b'5',3
242,0.37374,0.63636,b'5',3
243,0.3468,0.6229,b'5',472
244,0.3569,0.60606,b'5',3
245,0.37374,0.60943,b'5',3
246,0.3771,0.62963,b'5',3
247,0.36027,0.63973,b'5',472
248,0.3367,0.63636,b'5',472
249,0.3367,0.61953,b'5',472
250,0.33333,0.60606,b'5',472
251,0.3468,0.59933,b'5',3
252,0.3569,0.59933,b'5',3
253,0.38384,0.59933,b'5',3
254,0.38721,0.62626,b'5',3
255,0.38721,0.63973,b'5',3
256,0.3468,0.63636,b'5',472
257,0.3367,0.6229,b'5',472
258,0.34007,0.60269,b'5',472
259,0.34343,0.59933,b'5',3
260,0.36364,0.61953,b'5',3
261,0.367,0.63636,b'5',3
262,0.33333,0.6229,b'5',472
263,0.35017,0.633,b'5',472
264,0.3569,0.60606,b'5',3
265,0.37037,0.61279,b'5',3
266,0.34343,0.61279,b'5',472
267,0.33333,0.6229,b'5',472
268,0.33333,0.633,b'5',472
269,0.3367,0.63636,b'5',472
270,0.38384,0.63636,b'5',3
271,0.37037,0.61953,b'5',3
272,0.32997,0.61953,b'5',472
273,0.3266,0.62963,b'5',472
274,0.32997,0.61279,b'5',472
275,0.36027,0.61279,b'5',3
276,0.367,0.60943,b'5',3
277,0.36364,0.63973,b'5',3
278,0.35017,0.6431,b'5',472
279,0.32997,0.6431,b'5',472
280,0.35354,0.6229,b'5',3
281,0.38047,0.62963,b'5',3
282,0.38047,0.60943,b'5',3
283,0.3468,0.59933,b'5',3
284,0.3367,0.59933,b'5',472
285,0.3569,0.61953,b'5',3
286,0.3367,0.61953,b'5',472
287,0.35017,0.62626,b'5',472
288,0.37037,0.62626,b'5',3
289,0.367,0.6431,b'5',3
290,0.35017,0.6431,b'5',472
291,0.35017,0.61953,b'5',472
292,0.37374,0.61616,b'5',3
293,0.35354,0.63973,b'5',472
294,0.34007,0.6431,b'5',472
295,0.34007,0.62963,b'5',472
296,0.3367,0.57912,b'6',3
297,0.32997,0.55556,b'6',3
298,0.34343,0.54545,b'6',3
299,0.367,0.54209,b'6',3
300,0.39731,0.56229,b'6',3
301,0.38047,0.57912,b'6',3
302,0.35354,0.58586,b'6',3
303,0.32997,0.57912,b'6',3
304,0.32997,0.55892,b'6',3
305,0.32323,0.57239,b'6',472
306,0.33333,0.57239,b'6',3
307,0.3367,0.55892,b'6',3
308,0.35354,0.55892,b'6',3
309,0.3771,0.55892,b'6',3
310,0.367,0.57576,b'6',3
311,0.34343,0.57576,b'6',3
312,0.3569,0.56566,b'6',3
313,0.34343,0.54882,b'6',3
314,0.36364,0.55556,b'6',3
315,0.37374,0.55556,b'6',3
316,0.38047,0.54882,b'6',3
317,0.39057,0.56566,b'6',3
318,0.37374,0.57912,b'6',3
319,0.34343,0.57239,b'6',3
320,0.35354,0.55556,b'6',3
321,0.35354,0.54545,b'6',3
322,0.33333,0.55892,b'6',3
323,0.37037,0.55556,b'6',3
324,0.3771,0.56566,b'6',3
325,0.37374,0.57912,b'6',3
326,0.35017,0.57912,b'6',3
